ID,Pays,Nmb de concert
1,United Kingdom,540
2,United States,348
3,France,75
4,Germany,66
5,Netherlands,41
6,Canada,38
7,Italy,25
8,Australia,23
9,Belgium,22
10,Japan,17
11,Switzerland,15
12,Denmark,13
13,Sweden,9
14,Austria,6
15,Russia,5
16,Spain,4
17,Norway,3
18,Mexico,2
19,Portugal,2
20,Czech Republic,1
21,Finland,1
22,Greece,1
23,Ireland,1
24,Isle Of Man,1
25,New Zealand,1
