ID,Pays,Nmb de concert
1,United States,33
2,United Kingdom,21
3,France,13
4,Germany,7
5,Japan,6
6,Canada,3
7,Denmark,2
8,Belgium,1
9,Switzerland,1
10,Netherlands,1
