ID,Pays,Nmb de concert
1,United States,35
2,Australia,21
3,Japan,8
4,Germany,7
5,France,7
6,Italy,5
7,United Kingdom,3
8,Canada,2
9,Spain,2
10,Netherlands,2
11,Austria,1
12,Switzerland,1
13,Denmark,1
14,Norway,1
15,New Zealand,1
