ID,Pays,Nmb de concert
1,United Kingdom,43
2,United States,20
3,Germany,4
4,Sweden,2
5,Australia,1
6,Belgium,1
7,Spain,1
8,Finland,1
9,Isle Of Man,1
10,Netherlands,1
