ID,Pays,Nmb de concert
1,United Kingdom,24
2,United States,8
3,Germany,5
4,Italy,5
5,Spain,4
6,France,3
7,Ireland,3
8,Switzerland,1
9,Czech Republic,1
10,Denmark,1
11,Netherlands,1
12,Norway,1
13,Sweden,1
