ID,Pays,Nmb de concert
1,United Kingdom,17
2,Japan,10
3,France,8
4,Germany,7
5,Italy,5
6,Brazil,4
7,Spain,3
8,Belgium,2
9,Switzerland,2
10,Denmark,2
11,South Korea,2
12,Netherlands,2
13,Sweden,2
14,South Africa,2
15,Argentina,1
16,Austria,1
17,Chile,1
18,Hong Kong,1
19,Ireland,1
20,Norway,1
21,Peru,1
22,Portugal,1
23,Singapore,1
24,Taiwan,1
25,Venezuela,1
