ID,Pays,Nmb de concert
1,United States,28
2,United Kingdom,23
3,Germany,5
4,Italy,5
5,Canada,4
6,France,4
7,Ireland,4
8,Belgium,2
9,Japan,2
10,Switzerland,1
11,Spain,1
12,Netherlands,1
13,Sweden,1
