ID,Pays,Nmb de concert
1,United States,20
2,Germany,3
3,United Kingdom,2
4,Austria,1
5,Belgium,1
6,Switzerland,1
7,Czech Republic,1
8,Denmark,1
9,Spain,1
10,France,1
11,Portugal,1
