ID,Pays,Nmb de concert
1,United States,12
2,Australia,11
3,Japan,4
4,Spain,3
5,United Kingdom,2
6,Argentina,1
7,Denmark,1
8,Finland,1
9,France,1
10,Ireland,1
11,Norway,1
12,New Zealand,1
13,Sweden,1
