ID,Pays,Nmb de concert
1,United States,52
2,United Kingdom,18
3,Germany,9
4,Canada,7
5,Italy,4
6,Netherlands,3
7,Belgium,2
8,Ireland,2
9,Mexico,2
10,Austria,1
11,France,1
