ID,Pays,Nmb de concert
1,United States,243
2,United Kingdom,36
3,Germany,21
4,Canada,15
5,Australia,11
6,Italy,11
7,France,9
8,Netherlands,9
9,Austria,5
10,Spain,5
11,Switzerland,4
12,Japan,4
13,Belgium,3
14,Ireland,3
15,Mexico,3
16,Brazil,2
17,Argentina,1
18,Denmark,1
19,Finland,1
20,Hungary,1
21,Norway,1
22,New Zealand,1
23,Portugal,1
24,Sweden,1
25,Slovenia,1
