ID,Pays,Nmb de concert
1,United States,48
2,Germany,11
3,United Kingdom,9
4,Netherlands,6
5,Austria,4
6,Switzerland,3
7,Italy,2
8,Belgium,1
9,France,1
10,Hungary,1
