Titre,Label,Date de sortie,Niveau max atteint,top 1,top 10,top 20,top 40,top 75, top 100
EXILE ON MAIN STREET,ROLLING STONES,10.06.1972,01,01,05,11,16,16,16
ROCK 'N' ROLLING STONES,DECCA,11.11.1972,41,00,00,00,00,01,01
GOAT'S HEAD SOUP,ROLLING STONES,22.09.1973,01,02,06,09,11,14,14
IT'S ONLY ROCK 'N' ROLL,ROLLING STONES,02.11.1974,02,00,03,05,08,09,09
MADE IN THE SHADE,ROLLING STONES,28.06.1975,14,00,00,04,08,12,12
METAMORPHOSIS,DECCA,28.06.1975,45,00,00,00,00,01,01
ROLLED GOLD,DECCA,29.11.1975,07,00,01,08,25,46,50
BLACK AND BLUE,ROLLING STONES,08.05.1976,02,00,08,09,11,14,14
LOVE YOU LIVE,ROLLING STONES,08.10.1977,03,00,03,05,06,08,08
GET STONED,ARCADE,05.11.1977,08,00,01,09,12,15,15
SOME GIRLS,ROLLING STONES,24.06.1978,02,00,06,10,16,25,25
EMOTIONAL RESCUE,ROLLING STONES,05.07.1980,01,02,06,09,10,18,18
TATTOO YOU,ROLLING STONES,12.09.1981,02,00,06,07,12,25,29
STILL LIFE (AMERICAN CONCERT 1981),ROLLING STONES,12.06.1982,04,00,08,11,12,17,18
IN CONCERT,DECCA,31.07.1982,97,00,00,00,00,00,02
STORY OF THE STONES,K-TEL,11.12.1982,24,00,00,00,07,11,12
UNDERCOVER,ROLLING STONES,19.11.1983,03,00,02,03,07,12,18
REWIND 1971-1984,ROLLING STONES,07.07.1984,23,00,00,00,06,16,18
DIRTY WORK,ROLLING STONES,05.04.1986,04,00,02,03,05,08,10
STEEL WHEELS,ROLLING STONES,23.09.1989,02,00,02,05,09,18,18
HOT ROCKS 1964-1971,LONDON,07.07.1990,03,00,07,09,13,18,18
FLASHPOINT,ROLLING STONES,20.04.1991,06,00,01,02,04,07,07
JUMP BACK - BEST OF '71 - '93,VIRGIN,04.12.1993,16,00,00,03,16,28,45
HOT ROCKS 2,ABKCO,12.02.1994,36,00,00,00,01,18,36
VOODOO LOUNGE,VIRGIN,23.07.1994,01,01,05,09,12,24,34
STRIPPED,VIRGIN,25.11.1995,09,00,01,01,08,11,12
BRIDGES TO BABYLON,VIRGIN,11.10.1997,06,00,01,02,04,06,10
NO SECURITY,VIRGIN,14.11.1998,67,00,00,00,00,01,01
FORTY LICKS,VIRGIN DECCA,12.10.2002,02,00,04,15,33,45,57
LIVE LICKS,VIRGIN,13.11.2004,38,00,00,00,01,04,07
A BIGGER BANG,VIRGIN,17.09.2005,02,00,01,02,03,04,05
ROLLED GOLD - THE VERY BEST OF,DECCA,24.11.2007,26,00,00,00,02,07,12
SHINE A LIGHT - OST,POLYDOR,19.04.2008,02,00,01,02,03,06,07
EXILE ON MAIN ST,POLYDOR,29.05.2010,01,01,02,03,05,06,10
SOME GIRLS,A&M,03.12.2011,58,00,00,00,00,01,01
GRRR,POLYDOR,24.11.2012,03,00,01,08,18,31,38
JUMP BACK - THE BEST OF,POLYDOR,06.07.2013,76,00,00,00,00,00,03
HYDE PARK - LIVE,POLYDOR,03.08.2013,16,00,00,01,01,02,03
BLUE & LONESOME,POLYDOR,15.12.2016,01,01,07,10,12,14,15
ON AIR,POLYDOR,14.12.2017,27,00,00,00,01,03,05
THEIR SATANIC MAJESTIES REQUEST,ABKCO,03.05.2018,90,00,00,00,00,00,01
HONK,POLYDOR,02.05.2019,08,00,01,01,02,03,04
GOATS HEAD SOUP,POLYDOR,17.09.2020,01,01,01,02,02,03,03
