ID,Pays,Nmb de concert
1,Australia,7
2,Japan,3
3,Germany,2
4,France,2
5,United Arab Emirates,1
6,Austria,1
7,Belgium,1
8,Switzerland,1
9,China,1
10,Denmark,1
11,Spain,1
12,Israel,1
13,Italy,1
14,Macao,1
15,Netherlands,1
16,Norway,1
17,New Zealand,1
18,Portugal,1
19,Sweden,1
20,Singapore,1
