ID,Pays,Nmb de concert
1,United Kingdom,94
2,United States,62
3,Australia,19
4,New Zealand,10
5,Germany,9
6,Denmark,8
7,Canada,7
8,Sweden,7
9,Ireland,6
10,France,3
11,Norway,2
12,Singapore,2
13,Austria,1
14,Finland,1
