ID,Pays,Nmb de concert
1,Germany,12
2,United Kingdom,12
3,Australia,9
4,Denmark,4
5,Belgium,3
6,Switzerland,3
7,Netherlands,3
8,United States,3
9,Austria,2
10,Sweden,2
11,New Zealand,1
