ID,Pays,Nmb de concert
1,United Kingdom,12
2,United States,5
3,Australia,4
4,France,3
5,Argentina,2
6,Germany,2
7,Mexico,2
8,United Arab Emirates,1
9,Chile,1
10,Spain,1
11,Hong Kong,1
12,Ireland,1
13,Italy,1
14,Portugal,1
