ID,Pays,Nmb de concert
1,United Kingdom,37
2,United States,9
3,Japan,7
4,France,5
5,Germany,4
6,Canada,3
7,Denmark,3
8,Italy,3
9,Sweden,3
10,Spain,2
11,Ireland,2
