ID,Pays,Nmb de concert
1,United Kingdom,37
2,United States,23
3,Germany,7
4,Canada,4
5,Spain,4
6,Italy,4
7,France,3
8,Ireland,3
9,Japan,3
10,Russia,3
11,Austria,2
12,Switzerland,2
13,Denmark,2
14,Belgium,1
15,Mexico,1
16,Netherlands,1
17,Norway,1
18,Portugal,1
19,Sweden,1
