ID,Pays,Nmb de concert
1,United States,50
2,United Kingdom,16
3,Italy,6
4,Canada,5
5,Germany,2
6,France,2
7,Ireland,2
8,Belgium,1
9,Switzerland,1
10,Norway,1
11,Sweden,1
