ID,Pays,Nmb de concert
1,United Kingdom,270
2,United States,182
3,France,29
4,Germany,17
5,Canada,15
6,Italy,12
7,Sweden,11
8,Australia,10
9,Japan,9
10,Netherlands,6
11,Belgium,5
12,Switzerland,4
13,Ireland,4
14,New Zealand,4
15,Austria,3
16,Spain,3
17,Denmark,2
18,Jamaica,2
19,Norway,2
20,Portugal,2
21,Finland,1
22,Greece,1
23,Hong Kong,1
24,Iceland,1
25,Thailand,1
