ID,Pays,Nmb de concert
1,United States,19
2,United Kingdom,15
3,France,11
4,Germany,4
5,Italy,4
6,Spain,3
7,Switzerland,2
8,Portugal,2
9,Sweden,2
10,Austria,1
11,Belgium,1
12,Denmark,1
13,Netherlands,1
