ID,Pays,Nmb de concert
1,United States,68
2,United Kingdom,21
3,Australia,10
4,Japan,9
5,Canada,5
6,New Zealand,4
7,Jamaica,2
8,Hong Kong,1
9,Netherlands,1
10,Thailand,1
