ID,Pays,Nmb de concert
1,United States,16
2,United Kingdom,12
3,France,9
4,Germany,5
5,Italy,3
6,Spain,2
7,Belgium,1
8,Switzerland,1
9,Denmark,1
10,Finland,1
11,Ireland,1
12,Netherlands,1
13,Norway,1
14,Portugal,1
15,Sweden,1
