ID,Pays,Nmb de concert
1,United Kingdom,34
2,United States,25
3,France,23
4,Germany,19
5,Australia,11
6,Japan,8
7,Switzerland,4
8,Ireland,4
9,Austria,3
10,Denmark,3
11,Netherlands,3
12,Norway,3
13,Belgium,2
14,Italy,2
15,Sweden,2
16,Spain,1
17,Finland,1
18,Greece,1
19,Portugal,1
