ID,Pays,Nmb de concert
1,United Kingdom,91
2,Germany,22
3,France,13
4,United States,10
5,Austria,2
6,Netherlands,2
7,Belgium,1
8,Switzerland,1
9,Denmark,1
10,Ireland,1
11,Norway,1
12,Sweden,1
