ID,Pays,Nmb de concert
1,United Kingdom,115
2,France,37
3,United States,33
4,Australia,20
5,New Zealand,10
6,Canada,5
7,Sweden,4
8,Netherlands,3
9,Denmark,2
10,Hong Kong,2
