ID,Pays,Nmb de concert
1,United Kingdom,79
2,United States,42
3,Japan,19
4,Netherlands,13
5,Sweden,11
6,Australia,8
7,Canada,4
8,Germany,4
9,Italy,4
10,Russia,4
11,Brazil,3
12,Denmark,3
13,Spain,3
14,Finland,3
15,France,3
16,Norway,3
17,Argentina,2
18,Belgium,2
19,Austria,1
20,Switzerland,1
21,Chile,1
22,Czech Republic,1
23,Greece,1
24,Hungary,1
25,Ireland,1
26,Latvia,1
27,New Zealand,1
28,Poland,1
29,Portugal,1
30,Serbia,1
31,Slovenia,1
32,Slovakia,1
