ID,Pays,Nmb de concert
1,United Kingdom,4
2,Russia,4
3,Spain,3
4,Finland,2
5,Italy,2
6,Japan,2
7,Austria,1
8,Belgium,1
9,France,1
10,Greece,1
11,Hungary,1
12,Ireland,1
13,Latvia,1
14,Netherlands,1
15,Norway,1
16,Poland,1
17,Portugal,1
18,Serbia,1
19,Sweden,1
20,Slovakia,1
21,United States,1
